13 TRIATHLON SPRINT PIASCO E GIOVANILI | 24-05-2026 | Piasco (Cuneo) | Piemonte | 13 TRIATHLON SPRINT PIASCO | https://www.myfitri.it/evento/4046
13° Triathlon Sprint del Lago di Chiusi 2026 | 05-07-2026 | Siena (Siena) | Toscana | 13° Triathlon Sprint del Lago di Chiusi 2026 | https://www.myfitri.it/evento/4048
13°IRON TOUR CROSS - TRIATHLON OFF-ROAD A TAPPE-ISOLA D'ELBA | 02-05-2026 | Capoliveri (Livorno) | Toscana | 2^Tappa/02 Maggio/Triathlon Sprint Cross/Lacona di Capoliveri | https://www.myfitri.it/evento/4014
13°IRON TOUR CROSS - TRIATHLON OFF-ROAD A TAPPE-ISOLA D'ELBA | 03-05-2026 | Capoliveri (Livorno) | Toscana | 3^Tappa/03 Maggio/Triathlon Sprint Cross/Lido di Capoliveri | https://www.myfitri.it/evento/4014
15 Duathlon Città di Vigevano | 12-04-2026 | Vigevano (Pavia) | Lombardia | 15° DUATHLON CITTA' DI VIGEVANO | https://www.myfitri.it/evento/3965
16° ARONAMEN KM 112.9 | 26-07-2026 | Arona (Novara) | Piemonte | 16° ARONAMEN KM112.9 | https://www.myfitri.it/evento/4019
17° Terrible Triathlon IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Olimpico IDROMAN | https://www.myfitri.it/evento/4010
17° Terrible Triathlon IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Sprint IDROMAN | https://www.myfitri.it/evento/4010
17° Terrible Triathlon IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Terrible IDROMAN - medio | https://www.myfitri.it/evento/4010
19° TRIATHLON SAN VITO LO CAPO - MEMORIAL ROBERTO MICELI | 17-10-2026 | San Vito Lo Capo (Trapani) | Sicilia | 19° TRIATHLON KIDS-YOUTH SAN VITO LO CAPO - MEMORIAL ROBERTO MICELI | https://www.myfitri.it/evento/4017
19° TRIATHLON SAN VITO LO CAPO - MEMORIAL ROBERTO MICELI | 18-10-2026 | San Vito Lo Capo (Trapani) | Sicilia | 19° Triathlon San Vito Lo Capo - Memorial Roberto Miceli | https://www.myfitri.it/evento/4017
1° COPPA S. AGATA DUATHLON SUPER SPRINT | 01-02-2026 | Catania (Catania) | Sicilia | Duathlon Super Sprint | https://www.myfitri.it/evento/4054
1° Como City Triathlon | 19-07-2026 | Como (Como) | Lombardia | 1° Como City Triathlon | https://www.myfitri.it/evento/4059
